crop,nitrogen_fixer,water_requirement,market_price_usd_per_ton,growing_season_days,soil_depletion_index,drought_tolerance,fertilizer_dependency,profitability_score
rice,0,High,320,120,4,Low,High,5.3
maize,0,Medium,280,100,4,Medium,High,5.1
chickpea,1,Low,850,95,1,High,Low,9.5
kidneybeans,1,Medium,780,100,1,Medium,Low,8.2
pigeonpeas,1,Low,720,140,1,High,Low,8.8
mothbeans,1,Low,690,85,1,High,Low,8.7
mungbean,1,Low,760,75,1,High,Low,9.1
blackgram,1,Low,740,90,1,Medium,Low,8.9
lentil,1,Low,900,110,1,High,Low,9.6
pomegranate,0,Medium,1500,180,3,Medium,Medium,7.0
banana,0,High,450,300,4,Low,High,4.2
mango,0,Medium,1100,200,3,Medium,Medium,6.5
grapes,0,High,1700,160,4,Low,High,6.2
watermelon,0,High,380,90,3,Medium,Medium,4.8
muskmelon,0,Medium,420,85,3,Medium,Medium,5.0
apple,0,Medium,2100,210,3,Low,Medium,7.4
orange,0,Medium,950,180,3,Medium,Medium,6.1
papaya,0,Medium,600,150,3,Medium,Medium,5.8
coconut,0,High,1300,365,4,Low,Medium,5.9
cotton,0,High,1900,180,5,Medium,High,3.9
jute,0,High,500,120,4,Low,High,4.5
coffee,0,Medium,3200,240,4,Medium,High,7.8
